,Movie,Day of Release,Language
686,Pushpa,2021,"Hindi, "
687,Puss In Boots 2,2021,English
688,Go Goa Gone 2,2021,Hindi
689,The Intern,2021,Hindi
690,Bharateeyudu 2,2021,Telugu
691,Jurassic World 3,2021,English
692,Badhaai Do,2021,Hindi
693,The Batman,2021,English
694,Jungle Cruise ,2021,English
695,Golmaal five,2021,Hindi
696,Takht,2021,Hindi
